idx,token,count
0,ba,1
1,be,1
2,bi,0
3,bo,9
4,bu,0
5,ca,13
6,ce,3
7,ci,2
8,co,14
9,cu,2
10,da,12
11,de,24
12,di,3
13,do,29
14,du,1
15,fa,7
16,fe,0
17,fi,3
18,fo,0
19,fu,0
20,ga,3
21,ge,1
22,gi,2
23,go,3
24,gu,1
25,ja,2
26,je,0
27,ji,0
28,jo,2
29,ju,1
30,la,5
31,le,2
32,li,3
33,lo,3
34,lu,0
35,ma,13
36,me,7
37,mi,4
38,mo,10
39,mu,0
40,na,13
41,ne,3
42,ni,5
43,no,12
44,nu,3
45,pa,9
46,pe,6
47,pi,1
48,po,5
49,pu,1
50,ra,20
51,re,10
52,ri,6
53,ro,12
54,ru,1
55,sa,17
56,se,17
57,si,3
58,so,13
59,su,3
60,ta,23
61,te,18
62,ti,9
63,to,19
64,tu,4
65,va,10
66,ve,7
67,vi,5
68,vo,3
69,vu,0
70,xa,0
71,xe,1
72,xi,2
73,xo,0
74,xu,0
75,za,2
76,ze,1
77,zi,1
78,zo,0
79,zu,0
80,qua,0
81,que,15
82,qui,2
83,quo,0
84,gue,0
85,gui,0
86,cha,2
87,che,3
88,chi,0
89,cho,0
90,chu,0
91,lha,1
92,lhe,0
93,lhi,0
94,lho,2
95,lhu,0
96,nha,4
97,nhe,0
98,nhi,0
99,nho,0
100,nhu,0
101,bra,1
102,bre,2
103,bri,0
104,bro,1
105,bru,0
106,cra,0
107,cre,1
108,cri,0
109,cro,0
110,cru,0
111,dra,0
112,dre,0
113,dri,0
114,dro,0
115,dru,0
116,fra,0
117,fre,0
118,fri,0
119,fro,6
120,fru,0
121,gra,0
122,gre,0
123,gri,0
124,gro,0
125,gru,0
126,pra,0
127,pre,1
128,pri,2
129,pro,5
130,pru,0
131,tra,3
132,tre,2
133,tri,0
134,tro,0
135,tru,0
136,vra,0
137,vre,0
138,vri,0
139,vro,0
140,vru,0
141,bla,0
142,ble,2
143,bli,0
144,blo,0
145,blu,0
146,cla,1
147,cle,0
148,cli,0
149,clo,0
150,clu,0
151,fla,0
152,fle,0
153,fli,0
154,flo,0
155,flu,0
156,gla,0
157,gle,0
158,gli,0
159,glo,0
160,glu,0
161,pla,1
162,ple,0
163,pli,0
164,plo,0
165,plu,0
166,ar,1
167,al,1
168,as,10
169,am,0
170,an,0
171,az,0
172,ax,0
173,er,0
174,el,0
175,es,8
176,em,7
177,en,4
178,ez,0
179,ex,2
180,ir,1
181,il,0
182,is,3
183,im,2
184,in,3
185,iz,0
186,ix,0
187,or,0
188,ol,0
189,os,9
190,om,0
191,on,2
192,oz,0
193,ox,0
194,ur,0
195,ul,0
196,us,0
197,um,6
198,un,0
199,uz,0
200,ux,0
201,bar,0
202,bal,0
203,bas,1
204,bam,0
205,ban,0
206,baz,0
207,bax,0
208,ber,0
209,bel,0
210,bes,0
211,bem,2
212,ben,0
213,bez,0
214,bex,0
215,bir,0
216,bil,8
217,bis,0
218,bim,0
219,bin,0
220,biz,0
221,bix,0
222,bor,0
223,bol,12
224,bos,0
225,bom,1
226,bon,0
227,boz,0
228,box,0
229,bur,0
230,bul,0
231,bus,0
232,bum,0
233,bun,0
234,buz,0
235,bux,0
236,car,0
237,cal,1
238,cas,1
239,cam,0
240,can,0
241,caz,0
242,cax,0
243,cer,1
244,cel,0
245,ces,1
246,cem,0
247,cen,1
248,cez,0
249,cex,0
250,cir,0
251,cil,0
252,cis,0
253,cim,0
254,cin,1
255,ciz,0
256,cix,0
257,cor,1
258,col,0
259,cos,0
260,com,6
261,con,6
262,coz,0
263,cox,0
264,cur,0
265,cul,0
266,cus,0
267,cum,0
268,cun,0
269,cuz,0
270,cux,0
271,dar,0
272,dal,0
273,das,4
274,dam,0
275,dan,0
276,daz,0
277,dax,0
278,der,0
279,del,0
280,des,1
281,dem,0
282,den,0
283,dez,0
284,dex,0
285,dir,0
286,dil,0
287,dis,2
288,dim,0
289,din,0
290,diz,0
291,dix,0
292,dor,0
293,dol,0
294,dos,5
295,dom,0
296,don,0
297,doz,0
298,dox,0
299,dur,0
300,dul,1
301,dus,0
302,dum,0
303,dun,0
304,duz,0
305,dux,0
306,far,0
307,fal,0
308,fas,0
309,fam,0
310,fan,1
311,faz,0
312,fax,0
313,fer,0
314,fel,0
315,fes,3
316,fem,0
317,fen,0
318,fez,0
319,fex,0
320,fir,0
321,fil,0
322,fis,0
323,fim,0
324,fin,0
325,fiz,0
326,fix,0
327,for,2
328,fol,0
329,fos,1
330,fom,0
331,fon,0
332,foz,0
333,fox,0
334,fur,0
335,ful,0
336,fus,0
337,fum,0
338,fun,0
339,fuz,0
340,fux,0
341,gar,0
342,gal,0
343,gas,0
344,gam,0
345,gan,0
346,gaz,0
347,gax,0
348,ger,0
349,gel,0
350,ges,0
351,gem,0
352,gen,0
353,gez,0
354,gex,0
355,gir,0
356,gil,0
357,gis,0
358,gim,0
359,gin,0
360,giz,0
361,gix,0
362,gor,1
363,gol,0
364,gos,1
365,gom,0
366,gon,0
367,goz,0
368,gox,0
369,gur,0
370,gul,0
371,gus,0
372,gum,0
373,gun,0
374,guz,0
375,gux,0
376,jar,0
377,jal,0
378,jas,0
379,jam,0
380,jan,0
381,jaz,0
382,jax,0
383,jer,0
384,jel,0
385,jes,0
386,jem,0
387,jen,0
388,jez,0
389,jex,0
390,jir,0
391,jil,0
392,jis,0
393,jim,0
394,jin,0
395,jiz,0
396,jix,0
397,jor,0
398,jol,0
399,jos,0
400,jom,0
401,jon,0
402,joz,0
403,jox,0
404,jur,0
405,jul,0
406,jus,1
407,jum,0
408,jun,1
409,juz,0
410,jux,0
411,lar,1
412,lal,0
413,las,0
414,lam,0
415,lan,1
416,laz,0
417,lax,0
418,ler,0
419,lel,0
420,les,3
421,lem,1
422,len,1
423,lez,0
424,lex,0
425,lir,0
426,lil,0
427,lis,0
428,lim,0
429,lin,1
430,liz,0
431,lix,0
432,lor,0
433,lol,0
434,los,0
435,lom,0
436,lon,1
437,loz,0
438,lox,0
439,lur,0
440,lul,0
441,lus,0
442,lum,0
443,lun,0
444,luz,0
445,lux,0
446,mar,0
447,mal,0
448,mas,7
449,mam,0
450,man,0
451,maz,0
452,max,0
453,mer,0
454,mel,0
455,mes,2
456,mem,0
457,men,8
458,mez,0
459,mex,0
460,mir,0
461,mil,0
462,mis,0
463,mim,0
464,min,0
465,miz,0
466,mix,0
467,mor,0
468,mol,0
469,mos,4
